index,xmonth,xtime,yEAC,yEACr,yTSW,yTSWr
0,7,1997-07-14 12:00:00,4119,0.3398234469103209,8002,0.660176553089679
2,7,1997-07-15 12:00:00,3963,0.3269532216813794,8158,0.6730467783186206
3,7,1997-07-16 12:00:00,3824,0.3154855209966174,8297,0.6845144790033826
4,7,1997-07-17 12:00:00,3766,0.310700437257652,8355,0.6892995627423479
5,7,1997-07-18 12:00:00,3740,0.3085553997194951,8381,0.6914446002805049
6,7,1997-07-19 12:00:00,3770,0.31103044303275307,8351,0.6889695569672469
7,7,1997-07-20 12:00:00,3793,0.3129279762395842,8328,0.6870720237604158
8,7,1997-07-21 12:00:00,3731,0.3078128867255177,8390,0.6921871132744823
9,7,1997-07-22 12:00:00,3674,0.30311030443032755,8447,0.6968896955696725
10,7,1997-07-23 12:00:00,3776,0.3115254516954047,8345,0.6884745483045953
11,7,1997-07-24 12:00:00,3848,0.31746555564722384,8273,0.6825344443527762
12,7,1997-07-25 12:00:00,3867,0.3190330830789539,8254,0.6809669169210462
13,7,1997-07-26 12:00:00,3881,0.3201881032918076,8240,0.6798118967081924
14,7,1997-07-27 12:00:00,3921,0.32348816104281825,8200,0.6765118389571817
15,7,1997-07-28 12:00:00,3942,0.32522069136209886,8179,0.6747793086379011
16,7,1997-07-29 12:00:00,4022,0.33182080686412013,8099,0.6681791931358799
17,7,1997-07-30 12:00:00,4061,0.3350383631713555,8060,0.6649616368286445
18,7,1997-07-31 12:00:00,4110,0.33908093391634353,8011,0.6609190660836565
19,8,1997-08-01 12:00:00,4186,0.34535104364326374,7935,0.6546489563567363
20,8,1997-08-02 12:00:00,4358,0.35954129197260953,7763,0.6404587080273905
21,8,1997-08-03 12:00:00,4456,0.3676264334625856,7665,0.6323735665374144
22,8,1997-08-04 12:00:00,4405,0.363418859830047,7716,0.6365811401699529
23,8,1997-08-05 12:00:00,4320,0.3564062371091494,7801,0.6435937628908506
24,8,1997-08-06 12:00:00,4113,0.33932843824766934,8008,0.6606715617523307
25,8,1997-08-07 12:00:00,3881,0.3201881032918076,8240,0.6798118967081924
26,8,1997-08-08 12:00:00,3701,0.3053378434122597,8420,0.6946621565877403
27,8,1997-08-09 12:00:00,3750,0.30938041415724776,8371,0.6906195858427523
28,8,1997-08-10 12:00:00,3875,0.319693094629156,8246,0.680306905370844
29,8,1997-08-11 12:00:00,3861,0.3185380744163023,8260,0.6814619255836977
30,8,1997-08-12 12:00:00,3803,0.31375299067733686,8318,0.6862470093226631
31,8,1997-08-13 12:00:00,3765,0.31061793581387676,8356,0.6893820641861232
33,8,1997-08-14 12:00:00,3766,0.310700437257652,8355,0.6892995627423479
34,8,1997-08-15 12:00:00,3679,0.30352281164920386,8442,0.6964771883507961
35,8,1997-08-16 12:00:00,3566,0.2942001485025988,8555,0.7057998514974012
36,8,1997-08-17 12:00:00,3411,0.28141242471743255,8710,0.7185875752825674
37,8,1997-08-18 12:00:00,3338,0.27538981932183815,8783,0.7246101806781619
38,8,1997-08-19 12:00:00,3310,0.27307977889613066,8811,0.7269202211038693
39,8,1997-08-20 12:00:00,3398,0.2803399059483541,8723,0.7196600940516459
40,8,1997-08-21 12:00:00,3477,0.28685752000660014,8644,0.7131424799933999
41,8,1997-08-22 12:00:00,3506,0.2892500618760828,8615,0.7107499381239172
42,8,1997-08-23 12:00:00,3459,0.28537249401864534,8662,0.7146275059813547
43,8,1997-08-24 12:00:00,3293,0.27167725435195117,8828,0.7283227456480489
44,8,1997-08-25 12:00:00,3343,0.27580232654071446,8778,0.7241976734592855
45,8,1997-08-26 12:00:00,3439,0.28372246514314,8682,0.71627753485686
