xmonth,xtime,yEAC,yEACr,yTSW,yTSWr
3,1994-03-21 12:00:00,11754,0.9697219701344774,367,0.030278029865522648
3,1994-03-22 12:00:00,12105,0.9986799768995958,16,0.001320023100404257
3,1994-03-23 12:00:00,12088,0.9972774523554162,33,0.00272254764458378
3,1994-03-24 12:00:00,11879,0.9800346506063856,242,0.019965349393614388
3,1994-03-25 12:00:00,11893,0.9811896708192394,228,0.018810329180760664
3,1994-03-26 12:00:00,11984,0.9886973022027885,137,0.011302697797211452
3,1994-03-27 12:00:00,11992,0.9893573137529906,129,0.010642686247009323
3,1994-03-28 12:00:00,12081,0.9966999422489894,40,0.003300057751010643
3,1994-03-29 12:00:00,12084,0.9969474465803152,37,0.0030525534196848446
3,1994-03-30 12:00:00,12088,0.9972774523554162,33,0.00272254764458378
3,1994-03-31 12:00:00,12083,0.9968649451365399,38,0.0031350548634601107
